order_id,order_date,region,product,category,units_sold,unit_price,revenue,customer_type,discount_applied
1001,2024-01-05,North,Product A,Software,12,120,1440,New,No
1002,2024-01-06,South,Product B,Hardware,5,300,1500,Existing,Yes
1003,2024-01-07,West,Product C,Software,8,200,1600,New,No
1004,2024-01-10,East,Product A,Software,3,120,360,Existing,Yes
1005,2024-01-15,North,Product D,Services,10,150,1500,New,No
1006,2024-02-01,South,Product B,Hardware,2,300,600,Existing,No
1007,2024-02-03,West,Product C,Software,15,200,3000,New,Yes
1008,2024-02-07,East,Product D,Services,7,150,1050,Existing,No
1009,2024-02-10,North,Product A,Software,1,120,120,Existing,Yes
1010,2024-02-14,South,Product C,Software,9,200,1800,New,No
1011,2024-03-01,West,Product B,Hardware,4,300,1200,Existing,Yes
1012,2024-03-05,East,Product A,Software,11,120,1320,New,No
1013,2024-03-10,North,Product D,Services,6,150,900,Existing,No
1014,2024-03-15,South,Product A,Software,14,120,1680,New,No
1015,2024-03-20,West,Product C,Software,2,200,400,Existing,Yes
1016,2024-03-25,East,Product B,Hardware,1,300,300,Existing,Yes
1017,2024-04-01,North,Product C,Software,13,200,2600,New,No
1018,2024-04-04,South,Product D,Services,5,150,750,Existing,No
1019,2024-04-10,West,Product A,Software,9,120,1080,New,Yes
1020,2024-04-15,East,Product C,Software,4,200,800,Existing,No
